Time,X (km),Y (km),Z (km)
2024-12-30 08:17:26.902674,6176.267245023354,-128.14175335183404,3121.2860070657316
2024-12-30 08:27:26.902674,3531.1961415766523,2778.1048782109947,5259.696824792752
2024-12-30 08:37:26.902674,-586.7359163467206,4525.835869937919,5198.740615784089
2024-12-30 08:47:26.902674,-4459.785365154269,4386.00793199857,2963.912823941963
2024-12-30 08:57:26.902674,-6471.7320101456735,2415.9235572440734,-510.99551514902805
2024-12-30 09:07:26.902674,-5785.788243548349,-561.7591745965975,-3772.8919271838336
2024-12-30 09:17:26.902674,-2694.5696682603534,-3306.6857990227063,-5463.099514280917
2024-12-30 09:27:26.902674,1514.245930370463,-4680.595207262998,-4881.964398467908
2024-12-30 09:37:26.902674,5093.820029947087,-4111.787458870588,-2269.5378209661776
2024-12-30 09:47:26.902674,6551.930482143111,-1831.3629656061516,1289.5680365919509
2024-12-30 09:57:26.902674,5276.1700473316105,1213.030380412213,4308.922053688873
2024-12-30 10:07:26.902674,1798.9213270289742,3751.484128012333,5525.836788701307
2024-12-30 10:17:26.902674,-2428.484464681823,4725.60520323883,4432.393087707764
2024-12-30 10:27:26.902674,-5642.552410536424,3728.280645288784,1485.027478233333
2024-12-30 10:37:26.902674,-6502.422797527184,1175.246614995204,-2083.803859530906
2024-12-30 10:47:26.902674,-4654.610227625452,-1867.8201529740206,-4783.403329625801
2024-12-30 10:57:26.902674,-874.1803549611731,-4136.127957707301,-5492.5609508919915
2024-12-30 11:07:26.902674,3268.49407015127,-4689.300023115967,-3918.179710200862
2024-12-30 11:17:26.902674,6051.922644392089,-3293.7458814193697,-711.7206462828876
2024-12-30 11:27:26.902674,6312.157569564434,-525.4782695350682,2791.6097893623473
2024-12-30 11:37:26.902674,3938.088271963138,2462.1174495508485,5126.829110865474
2024-12-30 11:47:26.902674,-78.67249318577713,4422.929230998449,5318.1023931988375
2024-12-30 11:57:26.902674,-4062.472788339775,4539.186253948707,3285.6815202642892
2024-12-30 12:07:26.902674,-6350.951070627799,2761.304574718279,-121.39313521718672
2024-12-30 12:17:26.902674,-5991.303383346464,-168.36198058720288,-3478.229290233013
2024-12-30 12:27:26.902674,-3140.1203080863206,-3028.777359352772,-5385.698749198008
2024-12-30 12:37:26.902674,1013.6701773128704,-4633.336142371392,-5053.767271676123
2024-12-30 12:47:26.902674,4746.162162498768,-4315.240840577943,-2619.501911977502
2024-12-30 12:57:26.902674,6502.53618678494,-2201.393437098666,907.1664214165298
2024-12-30 13:07:26.902674,5545.921992595726,830.6693365933114,4054.0330451486934
2024-12-30 13:17:26.902674,2275.1092452298844,3516.285140971021,5504.9505011245565
2024-12-30 13:27:26.902674,-1944.4881404840714,4735.635036171469,4654.196779583886
2024-12-30 13:37:26.902674,-5352.710497051896,3979.476268721577,1856.86573385995
2024-12-30 13:47:26.902674,-6527.453398663749,1562.7043147927072,-1717.4847552988126
2024-12-30 13:57:26.902674,-4983.267143908813,-1505.6023486985735,-4575.283162609835
2024-12-30 14:07:26.902674,-1369.423792807835,-3949.38252943359,-5528.761206681108
2024-12-30 14:17:26.902674,2812.1126538160693,-4755.587572687911,-4183.753256206912
2024-12-30 14:27:26.902674,5824.468587086719,-3586.1297977545955,-1096.532983720734
2024-12-30 14:37:26.902674,6409.002654026789,-922.4671215915687,2448.2293998497485
2024-12-30 14:47:26.902674,4318.82563755989,2126.154327136513,4968.514373048905
2024-12-30 14:57:26.902674,427.0067949043709,4288.064946035293,5410.909663675633
2024-12-30 15:07:26.902674,-3642.76707692387,4661.733407513495,3590.873667725655
2024-12-30 15:17:26.902674,-6192.367896283696,3090.1904963658017,268.56607392448666
2024-12-30 15:27:26.902674,-6159.457102840793,229.52480041349796,-3166.4929428452997
2024-12-30 15:37:26.902674,-3564.2293149309457,-2727.3661784813926,-5281.701083037871
2024-12-30 15:47:26.902674,509.8119738313625,-4553.2974799044505,-5200.442735163776
2024-12-30 15:57:26.902674,4371.764330570272,-4490.177316137724,-2956.2299839403363
2024-12-30 16:07:26.902674,6413.997938842205,-2559.1002460052127,520.4915828627977
2024-12-30 16:17:26.902674,5780.518503778193,439.23643393988095,3779.1187833429826
2024-12-30 16:27:26.902674,2734.805840386687,3254.423123500379,5456.688247435584
2024-12-30 16:37:26.902674,-1451.4621534485202,4712.5172902349805,4852.6930036587255
2024-12-30 16:47:26.902674,-5032.066954145364,4204.867619747763,2219.2209889202045
2024-12-30 16:57:26.902674,-6512.834238952985,1942.4909324237165,-1342.863271801554
2024-12-30 17:07:26.902674,-5279.983045573988,-1129.8083053740938,-4344.641747423764
2024-12-30 17:17:26.902674,-1853.588690063344,-3733.521934618254,-5537.609231140713
2024-12-30 17:27:26.902674,2341.3627831262866,-4789.230693124231,-4428.430637817313
2024-12-30 17:37:26.902674,5563.042677215145,-3855.8896584114595,-1475.6474838483182
2024-12-30 17:47:26.902674,6466.4294445594305,-1316.368386391177,2092.880729577047
2024-12-30 17:57:26.902674,4671.205439885882,1772.4372784359766,4785.5863253226025
2024-12-30 18:07:26.902674,927.1923936033787,4122.0252801156785,5476.752928401252
2024-12-30 18:17:26.902674,-3203.39351178292,4752.663834947449,3878.0027462664157
2024-12-30 18:27:26.902674,-5997.174457803059,3400.235517723929,656.9414683730331
2024-12-30 18:37:26.902674,-6289.4173299168515,629.1885286751922,-2839.2543726689914
2024-12-30 18:47:26.902674,-3964.4120751347546,-2404.405409431088,-5151.666418551114
2024-12-30 18:57:26.902674,5.788436011014466,-4440.881751575947,-5321.319993491193
2024-12-30 19:07:26.902674,3973.0999330391296,-4635.2717805052,-3278.082292757682
2024-12-30 19:17:26.902674,6287.09640957778,-2901.9647600426306,131.47591625160698
2024-12-30 19:27:26.902674,5978.712180888755,41.38432848932604,3485.5833640548494
2024-12-30 19:37:26.902674,3175.2679916658353,2967.5744963302777,5381.341068903524
2024-12-30 19:47:26.902674,-952.5058897388857,4656.258536804875,5026.941535632156
2024-12-30 19:57:26.902674,-4682.782465501392,4402.781533779824,2570.3082515526244
2024-12-30 20:07:26.902674,-6458.875790371996,2311.9575070804044,-961.8127789071037
2024-12-30 20:17:26.902674,-5543.1099165499745,-742.9461831181961,-4092.654984249212
2024-12-30 20:27:26.902674,-2323.7663416315913,-3489.8866710456655,-5519.114007446051
2024-12-30 20:37:26.902674,1859.2302793172441,-4789.855830050705,-4651.049198563263
2024-12-30 20:47:26.902674,5269.467635208039,-4101.0727935826635,-1847.1945465652777
2024-12-30 20:57:26.902674,6484.315300637335,-1704.458589604981,1727.354070489921
2024-12-30 21:07:26.902674,4993.2153922223215,1403.3127710398987,4578.998450322894
2024-12-30 21:17:26.902674,1418.8281920794136,3925.8050643862107,5515.35763302482
2024-12-30 21:27:26.902674,-2747.1841825054953,4811.205536422377,4145.677305030951
2024-12-30 21:37:26.902674,-5766.78646259721,3689.217553415776,1041.805704874906
2024-12-30 21:47:26.902674,-6380.5952359452485,1027.8980499342913,-2498.158274409076
2024-12-30 21:57:26.902674,-4338.34649279012,-2061.997135361346,-4996.280634940479
2024-12-30 22:07:26.902674,-495.30252961092134,-4296.709580286808,-5415.857113580594
2024-12-30 22:17:26.902674,3552.777540200804,-4749.399794486069,-3583.499480781592
2024-12-30 22:27:26.902674,6122.848952633987,-3227.5658748706974,-257.943261186354
2024-12-30 22:37:26.902674,6139.491639881328,-360.1857345857065,3174.9195303528163
2024-12-30 22:47:26.902674,3593.889287394334,2657.587901463784,5279.333211081504
2024-12-30 22:57:26.902674,-450.7365081429667,4567.090000307742,5176.125700842655
