Time,X (km),Y (km),Z (km)
2024-12-30 08:17:26.902674,5119.082977025449,2597.4557955911228,3864.503823509512
2024-12-30 08:27:26.902674,1206.308380633885,4052.2980904348847,5474.063348743548
2024-12-30 08:37:26.902674,-3209.643251833545,3817.1093970744846,4794.563028825343
2024-12-30 08:47:26.902674,-6286.336915946955,1989.502891005199,2109.5775171069718
2024-12-30 08:57:26.902674,-6739.554564449656,-668.4718607323174,-1458.2585110538223
2024-12-30 09:07:26.902674,-4384.677581074021,-3048.5069360552434,-4417.669096720951
2024-12-30 09:17:26.902674,-208.23785872007502,-4163.038089302124,-5538.209219941901
2024-12-30 09:27:26.902674,4054.5176803945524,-3551.768387951355,-4356.752349717775
2024-12-30 09:37:26.902674,6632.70490734911,-1465.856423558367,-1361.7286990791927
2024-12-30 09:47:26.902674,6447.2406633771225,1230.2532083893916,2201.4144480296354
2024-12-30 09:57:26.902674,3571.2821980939466,3412.888690571017,4843.339260995521
2024-12-30 10:07:26.902674,-794.708053999967,4171.839811299918,5459.473644172292
2024-12-30 10:17:26.902674,-4829.148638212502,3190.8608769395446,3792.6079488925216
2024-12-30 10:27:26.902674,-6848.166437595127,878.3463676310672,538.9144687059842
2024-12-30 10:37:26.902674,-6010.518984627243,-1800.8747338361172,-2940.5991720364996
2024-12-30 10:47:26.902674,-2671.746385193666,-3731.488665110719,-5194.247942032085
2024-12-30 10:57:26.902674,1775.8223339302563,-4114.517408821795,-5287.848474694396
2024-12-30 11:07:26.902674,5486.4035258882295,-2791.2598026253395,-3182.796212477114
2024-12-30 11:17:26.902674,6914.550158177728,-307.6471463681274,248.73088071310863
2024-12-30 11:27:26.902674,5458.877963516977,2303.9242998130185,3575.7737647714653
2024-12-30 11:37:26.902674,1725.0732785742125,3954.1141090952433,5406.727291469882
2024-12-30 11:47:26.902674,-2728.3250405739036,3955.176332234259,4976.711799640139
2024-12-30 11:57:26.902674,-6043.349721768296,2306.321522364538,2465.147551206661
2024-12-30 12:07:26.902674,-6836.170280444974,-305.11962336593865,-1078.0380397324768
2024-12-30 12:17:26.902674,-4779.851430944537,-2789.9278856553415,-4171.447178683394
2024-12-30 12:27:26.902674,-737.1969133549067,-4116.271518891183,-5527.977977221621
2024-12-30 12:37:26.902674,3611.1976362336377,-3736.176496656156,-4586.717130482667
2024-12-30 12:47:26.902674,6459.615114176808,-1805.2890447760153,-1736.6678673280417
2024-12-30 12:57:26.902674,6617.250610563342,876.9620751274441,1837.866310800285
2024-12-30 13:07:26.902674,4013.6160218838536,3193.143483272519,4643.278086297103
2024-12-30 13:17:26.902674,-264.69674047983705,4177.225122751452,5506.450855611647
2024-12-30 13:27:26.902674,-4432.55316489795,3419.166449269838,4067.023260748473
2024-12-30 13:37:26.902674,-6750.561099986908,1234.3776653929754,926.0480404695409
2024-12-30 13:47:26.902674,-6252.180778807072,-1465.6601558974855,-2602.6544475195437
2024-12-30 13:57:26.902674,-3151.255424750682,-3556.3350764687616,-5046.074513903748
2024-12-30 14:07:26.902674,1257.7393231367032,-4171.793966927518,-5390.64775888317
2024-12-30 14:17:26.902674,5144.79534342168,-3057.446607798673,-3494.1182334572927
2024-12-30 14:27:26.902674,6892.208171778944,-672.462277514793,-141.7846731333485
2024-12-30 14:37:26.902674,5765.666102907818,1992.523415413789,3269.282249293471
2024-12-30 14:47:26.902674,2232.9180686432874,3826.027616426383,5312.427827404276
2024-12-30 14:57:26.902674,-2231.3049793257055,4063.766489882107,5133.950473594218
2024-12-30 15:07:26.902674,-5764.566506533682,2606.385369060829,2808.279153480705
2024-12-30 15:17:26.902674,-6891.897844544071,61.20088021610341,-692.5714453452694
2024-12-30 15:27:26.902674,-5146.1260235553145,-2509.977745176859,-3904.5802560582247
2024-12-30 15:37:26.902674,-1261.1283967080878,-4038.6629554081915,-5490.343665704661
2024-12-30 15:47:26.902674,3146.97774697345,-3892.9981915763706,-4793.825616805324
2024-12-30 15:57:26.902674,6248.2451730074945,-2131.8505036966376,-2102.820053592072
2024-12-30 16:07:26.902674,6747.538602101124,516.3752593979773,1465.2674476973345
2024-12-30 16:17:26.902674,4431.435554428729,2948.9651964010527,4420.108598064732
2024-12-30 16:27:26.902674,266.2195166852885,4151.244357569088,5525.938524824972
2024-12-30 16:37:26.902674,-4010.004665377837,3622.2354645916384,4321.037188425558
2024-12-30 16:47:26.902674,-6612.787890190679,1581.8503042083714,1308.4246273077888
2024-12-30 16:57:26.902674,-6456.304506250234,-1118.784617794872,-2251.868896090147
2024-12-30 17:07:26.902674,-3611.439363209365,-3354.2504770239275,-4872.921113109708
2024-12-30 17:17:26.902674,732.8712924039478,-4198.036976266709,-5466.688805728798
2024-12-30 17:27:26.902674,4773.037554243823,-3301.3113488072945,-3787.9585953811766
2024-12-30 17:37:26.902674,6828.785215166848,-1033.0098632317606,-531.4557666390344
2024-12-30 17:47:26.902674,6037.632405012807,1665.487701722128,2946.5770833262104
2024-12-30 17:57:26.902674,2726.7674307258458,3668.9421479791636,5191.661939377023
2024-12-30 18:07:26.902674,-1721.639334110656,4142.080401730395,5265.52270294339
2024-12-30 18:17:26.902674,-5451.748514750486,2887.5194383817466,3137.2720232419297
2024-12-30 18:27:26.902674,-6906.457597286492,427.8529626366679,-303.7846468605702
2024-12-30 18:37:26.902674,-5481.318087508457,-2210.646979174752,-3618.4071747538856
2024-12-30 18:47:26.902674,-1776.867926541902,-3930.746329192922,-5425.519223139575
