Time,X (km),Y (km),Z (km)
2024-12-30 08:17:26.902674,3303.447689026696,2931.5083809791813,5324.060285285087
2024-12-30 08:27:26.902674,-852.5360041031238,4574.789144539949,5118.924102979618
2024-12-30 08:37:26.902674,-4652.776753464711,4310.1551254046935,2773.369903089789
2024-12-30 08:47:26.902674,-6511.464717122256,2246.9755860901605,-732.5153844422699
2024-12-30 08:57:26.902674,-5656.044581025293,-753.2706454698571,-3932.8582416398635
2024-12-30 09:07:26.902674,-2449.608886241092,-3441.1854467269713,-5495.054447534518
2024-12-30 09:17:26.902674,1772.8096341651067,-4702.2317918224935,-4772.545994031702
2024-12-30 09:27:26.902674,5258.472106064989,-4011.151708694053,-2063.864009836477
2024-12-30 09:37:26.902674,6553.6644464113115,-1649.9787918612683,1505.8522902694203
2024-12-30 09:47:26.902674,5114.146840120686,1399.5501165465846,4445.355759642468
2024-12-30 09:57:26.902674,1540.9251291594107,3865.3832633260213,5525.522858390374
2024-12-30 10:07:26.902674,-2674.803048470118,4719.490576989769,4295.623503482388
2024-12-30 10:17:26.902674,-5774.451014930158,3604.738520104569,1269.0452196633871
2024-12-30 10:27:26.902674,-6465.057687887814,985.916481939237,-2288.632528205982
2024-12-30 10:37:26.902674,-4463.943741877483,-2044.0483027427142,-4891.714506509453
2024-12-30 10:47:26.902674,-609.5407055945158,-4226.136285894538,-5459.4156349457735
2024-12-30 10:57:26.902674,3497.3366681517814,-4655.5197831171445,-3757.078277948629
2024-12-30 11:07:26.902674,6149.496768326323,-3149.7354527122216,-489.40805729435544
2024-12-30 11:17:26.902674,6237.42153942964,-331.0428348789346,2982.2913839383727
2024-12-30 11:27:26.902674,3722.3054956965857,2625.862829311205,5206.1664316155675
2024-12-30 11:37:26.902674,-345.34636660391527,4487.78898382053,5253.1237796833275
2024-12-30 11:47:26.902674,-4268.809347041958,4478.17635379943,3103.6445722567637
2024-12-30 11:57:26.902674,-6410.9102301797975,2599.930855911033,-344.3012763734807
2024-12-30 12:07:26.902674,-5880.197326813206,-362.7039825640546,-3648.8564726319905
2024-12-30 12:17:26.902674,-2904.5010510346788,-3175.290370303239,-5433.1152369621395
2024-12-30 12:27:26.902674,1276.0338708904826,-4671.208644297253,-4958.224849152411
2024-12-30 12:37:26.902674,4926.248933804932,-4228.349887666392,-2420.3408623540704
2024-12-30 12:47:26.902674,6524.937197460248,-2025.487759712059,1127.088218369483
2024-12-30 12:57:26.902674,5401.116386477632,1022.2973861058733,4202.7405804736245
2024-12-30 13:07:26.902674,2023.6895612703756,3643.7281524130753,5520.3856224866395
2024-12-30 13:17:26.902674,-2197.595517247909,4745.851243270479,4530.0759850361965
2024-12-30 13:27:26.902674,-5501.929538877137,3868.2373999523898,1645.1396506652634
2024-12-30 13:37:26.902674,-6510.673599568518,1376.5109218090606,-1928.218106392558
2024-12-30 13:47:26.902674,-4807.870792574948,-1689.1231806626547,-4697.143779222942
2024-12-30 13:57:26.902674,-1108.4567095063342,-4054.0645505417165,-5511.178604268193
2024-12-30 14:07:26.902674,3050.424204583178,-4737.818005760629,-4033.7966578555083
2024-12-30 14:17:26.902674,5940.789692308745,-3452.8022009135,-876.258143143632
2024-12-30 14:27:26.902674,6354.450798065698,-728.872656544351,2646.8846515745936
2024-12-30 14:37:26.902674,4116.193360985103,2299.255134459981,5062.479036433695
2024-12-30 14:47:26.902674,160.98085933397437,4368.5574113925095,5361.084707175952
