Time,X (km),Y (km),Z (km)
2024-12-30 08:17:26.902674,-6565.450047838355,1720.917179121386,-1387.0787123738387
2024-12-30 08:27:26.902674,-5212.732119398537,-1316.5673955444083,-4372.828811021612
2024-12-30 08:37:26.902674,-1694.2513744905664,-3807.852303096778,-5537.922893211124
2024-12-30 08:47:26.902674,2526.7554731310643,-4720.260323154095,-4400.6586111084225
2024-12-30 08:57:26.902674,5697.5298684186755,-3672.3176428414813,-1431.3723982270462
2024-12-30 09:07:26.902674,6494.229581660347,-1094.8278788756004,2135.1270366460535
2024-12-30 09:17:26.902674,4581.15480390478,1939.426165029826,4808.280062299351
2024-12-30 09:27:26.902674,757.1579259344297,4164.912129677369,5470.706173083871
2024-12-30 09:37:26.902674,-3382.450761174115,4653.68569687175,3845.9182582186427
2024-12-30 09:47:26.902674,-6110.497804610948,3200.665601107042,612.228867676159
2024-12-30 09:57:26.902674,-6289.558439812057,412.18753896022184,-2877.905695212305
2024-12-30 10:07:26.902674,-3851.1101237154767,-2548.5513135670494,-5168.051111652302
2024-12-30 10:17:26.902674,185.627181423931,-4452.305613201418,-5308.512532098794
2024-12-30 10:27:26.902674,4144.892475310383,-4509.219641869187,-3241.3663592395064
2024-12-30 10:37:26.902674,6379.5013087497455,-2690.974138864472,176.73979831072575
2024-12-30 10:47:26.902674,5953.551506119413,249.17558176472787,3520.495366212179
2024-12-30 10:57:26.902674,3043.458015299899,3085.467924328983,5391.541688617483
2024-12-30 11:07:26.902674,-1135.8169124412552,4635.231751073794,5008.442475886077
2024-12-30 11:17:26.902674,-4841.119715112766,4251.66614119012,2530.921731255981
2024-12-30 11:27:26.902674,-6526.060161656245,2093.7396831329393,-1005.6430693464043
2024-12-30 11:37:26.902674,-5490.931035334598,-937.3816899184129,-4122.582408699056
2024-12-30 11:47:26.902674,-2173.7354731070245,-3579.7188916775435,-5522.564395605404
2024-12-30 11:57:26.902674,2044.9514659481536,-4737.776581030675,-4626.495045529962
2024-12-30 12:07:26.902674,5413.7934205712445,-3928.7436400694055,-1804.8627005712597
2024-12-30 12:17:26.902674,6527.351376050826,-1483.8043856526099,1769.7409734865118
2024-12-30 12:27:26.902674,4917.431461444229,1580.124635118808,4603.832590065694
2024-12-30 12:37:26.902674,1256.1701643342335,3985.1017115374725,5512.550778934803
2024-12-30 12:47:26.902674,-2928.81249151998,4728.390668474942,4116.601351231199
2024-12-30 12:57:26.902674,-5891.571138327564,3498.8342579202586,998.6238971029771
2024-12-30 13:07:26.902674,-6396.310932705209,809.2824187102173,-2537.4022085376423
2024-12-30 13:17:26.902674,-4238.240609942267,-2217.8685073853353,-5015.134765937243
2024-12-30 13:27:26.902674,-320.79879311369973,-4325.091935793494,-5406.361406776959
2024-12-30 13:37:26.902674,3729.323146581006,-4638.493669532791,-3549.5457048870535
2024-12-30 13:47:26.902674,6228.119919357527,-3023.5801145640457,-213.7288939875343
2024-12-30 13:57:26.902674,6129.9252272554695,-148.32884386868975,3210.917757702737
2024-12-30 14:07:26.902674,3473.904084681861,2788.891869731639,5292.279579284517
2024-12-30 14:17:26.902674,-630.8901450182768,4563.2161069587955,5160.895027149618
2024-12-30 14:27:26.902674,-4472.348949566203,4434.371184629287,2871.4652637056074
2024-12-30 14:37:26.902674,-6447.295906021244,2454.9314790880926,-619.4601594366154
2024-12-30 14:47:26.902674,-5734.335779538349,-548.4553753779003,-3852.025339302727
2024-12-30 14:57:26.902674,-2637.3721374690963,-3324.614286878951,-5479.839587240372
2024-12-30 15:07:26.902674,1553.5290348478784,-4722.2336292097825,-4829.204966083047
2024-12-30 15:17:26.902674,5098.849763758764,-4159.709928361152,-2169.0977206658627
2024-12-30 15:27:26.902674,6520.640331802093,-1865.602993624354,1395.7805845324376
2024-12-30 15:37:26.902674,5221.932424892946,1206.6890228828074,4376.564549604397
2024-12-30 15:47:26.902674,1744.703824645594,3775.7591172034427,5526.883660261367
2024-12-30 15:57:26.902674,-2459.9886229783538,4770.457960711523,4366.555020342392
2024-12-30 16:07:26.902674,-5638.122087734494,3774.8926588429013,1379.7641713114897
2024-12-30 16:17:26.902674,-6463.695810977473,1204.0261670662514,-2184.511008851426
2024-12-30 16:27:26.902674,-4597.547783822305,-1868.8991372116557,-4837.458121098759
2024-12-30 16:37:26.902674,-822.3782712538542,-4166.582495881595,-5477.355083755648
2024-12-30 16:47:26.902674,3293.5761931840216,-4736.370936227263,-3839.8717213209347
2024-12-30 16:57:26.902674,6039.814409429398,-3337.762783864334,-602.8559780986858
2024-12-30 17:07:26.902674,6268.0571718560695,-548.1452251163145,2885.5455934463434
2024-12-30 17:17:26.902674,3880.7831332505143,2470.237439223832,5166.717996686849
2024-12-30 17:27:26.902674,-125.05581047088019,4458.563509720433,5287.523020443941
2024-12-30 17:37:26.902674,-4078.553058606389,4587.4761412956095,3197.448204707542
2024-12-30 17:47:26.902674,-6329.869712545956,2801.9447732207436,-230.463082708088
2024-12-30 17:57:26.902674,-5941.641078951045,-152.41890832495517,-3562.5357314053344
2024-12-30 18:07:26.902674,-3082.401674032156,-3044.1676600480523,-5410.015381985316
2024-12-30 18:17:26.902674,1055.5761547385823,-4673.5989234304925,-5007.839703611298
2024-12-30 18:27:26.902674,4754.841820005337,-4363.519446083902,-2522.2884151460557
2024-12-30 18:37:26.902674,6474.379337130261,-2237.5577698485567,1015.1289110386309
2024-12-30 18:47:26.902674,5492.961233660806,821.6308314178835,4127.654298248627
2024-12-30 18:57:26.902674,2219.80015615149,3538.1952134747394,5513.691926704919
2024-12-30 19:07:26.902674,-1978.973638461824,4779.453628544654,4594.579598561837
2024-12-30 19:17:26.902674,-5351.923861253833,4026.8354412072727,1753.7603165861274
2024-12-30 19:27:26.902674,-6491.520454260247,1593.6897679895928,-1821.00822057443
2024-12-30 19:37:26.902674,-4926.979201379038,-1503.9515782546625,-4635.946091371874
2024-12-30 19:47:26.902674,-1316.0544207121993,-3977.7257112706116,-5521.202078763612
2024-12-30 19:57:26.902674,2840.467968431654,-4802.048012325491,-4110.948835211603
2024-12-30 20:07:26.902674,5815.98034273278,-3631.2801020920538,-988.707725907121
2024-12-30 20:17:26.902674,6367.322067799454,-947.529385197847,2546.0325653839404
2024-12-30 20:27:26.902674,4261.719584003433,2131.59746183473,5015.535469814529
2024-12-30 20:37:26.902674,378.5516330312172,4321.848872511481,5387.752940841267
2024-12-30 20:47:26.902674,-3662.322215597571,4709.793663197634,3507.2780135928206
2024-12-30 20:57:26.902674,-6174.733538738104,3132.3238903766387,159.40667119330652
2024-12-30 21:07:26.902674,-6111.774619527165,248.04357509514205,-3255.581814324819
2024-12-30 21:17:26.902674,-3506.196868406652,-2740.1813613845593,-5313.490652961375
2024-12-30 21:27:26.902674,554.2001661391023,-4592.062971106359,-5161.573023874921
2024-12-30 21:37:26.902674,4384.080186243205,-4538.65833092913,-2862.7084423588367
2024-12-30 21:47:26.902674,6389.098929241804,-2597.0666062257114,629.6956150275496
2024-12-30 21:57:26.902674,5729.042146279878,427.5446261160491,3858.3841745426676
2024-12-30 22:07:26.902674,2678.6034123320637,3273.9140767540393,5473.099211730058
2024-12-30 22:17:26.902674,-1488.8189903546195,4755.168024906877,4799.589218003044
2024-12-30 22:27:26.902674,-5034.945313674801,4252.8186796209475,2118.7650828925352
2024-12-30 22:37:26.902674,-6479.841850334825,1975.5731565964097,-1448.7180388183947
2024-12-30 22:47:26.902674,-5224.680265362625,-1125.4465318360844,-4411.638245697064
2024-12-30 22:57:26.902674,-1798.8395029581018,-3759.6751097492443,-5537.744946344823
2024-12-30 23:07:26.902674,2372.903423694222,-4834.938369581638,-4361.482725524524
2024-12-30 23:17:26.902674,5558.227604726393,-3902.0284629598686,-1369.3746177610622
2024-12-30 23:27:26.902674,6427.3433927832,-1343.7360009185563,2194.0974162311713
2024-12-30 23:37:26.902674,4614.5152600826,1775.2036063343446,4839.535434960345
2024-12-30 23:47:26.902674,876.8321948112715,4153.865091116315,5461.144347019579
2024-12-30 23:57:26.902674,-3226.3710680954755,4800.344303158097,3799.448697593686
2024-12-31 00:07:26.902674,-5983.071344590286,3443.721983446475,548.2091220839202
2024-12-31 00:17:26.902674,-6243.902631373741,650.2122275353119,-2932.7144277319862
2024-12-31 00:27:26.902674,-3906.278407562242,-2414.6189755289906,-5190.793767803124
2024-12-31 00:37:26.902674,52.50824006967026,-4478.037575809941,-5289.704319114757
2024-12-31 00:47:26.902674,3989.026990262088,-4683.8056614032985,-3188.702391750362
2024-12-31 00:57:26.902674,6265.572164226468,-2941.60885935774,241.407134338974
2024-12-31 01:07:26.902674,5928.928181668311,27.090499364313366,3570.1336956538776
2024-12-31 01:17:26.902674,3118.3781159932296,2984.602758877486,5405.364399766584
2024-12-31 01:27:26.902674,-992.6132691936297,4697.616814766136,4980.6165396041015
2024-12-31 01:37:26.902674,-4689.33694562595,4451.172266213055,2472.982530269685
2024-12-31 01:47:26.902674,-6428.964908391411,2347.023515068343,-1069.5034080505902
2024-12-31 01:57:26.902674,-5489.004724141208,-735.9010075379009,-4165.683413144643
2024-12-31 02:07:26.902674,-2267.8328517822883,-3513.781492676344,-5526.9603119410685
2024-12-31 02:17:26.902674,1893.857053599679,-4834.675720757668,-4590.285968674767
2024-12-31 02:27:26.902674,5268.368386033266,-4148.056681626981,-1742.9808673433622
2024-12-31 02:37:26.902674,6447.994202004393,-1734.0372352487884,1831.5149770724472
2024-12-31 02:47:26.902674,4937.1621466518,1403.4113671926436,4639.64175741049
2024-12-31 02:57:26.902674,1366.7396442281454,3955.6174377751368,5507.391298911532
2024-12-31 03:07:26.902674,-2773.5204320463276,4858.362797198973,4072.5478942506975
2024-12-31 03:17:26.902674,-5756.290068187591,3733.9169590793135,934.0156509187431
2024-12-31 03:27:26.902674,-6337.433941835505,1051.3497124967341,-2595.559122403415
2024-12-31 03:37:26.902674,-4280.329318677315,-2069.5923699150485,-5042.579547043838
2024-12-31 03:47:26.902674,-446.4119446325357,-4332.1526752575555,-5391.661178766119
2024-12-31 03:57:26.902674,3572.278938946693,-4797.8418295625925,-3498.693553190077
2024-12-31 04:07:26.902674,6104.807911284357,-3268.7623663422187,-147.80319121762244
2024-12-31 04:17:26.902674,6091.607652392712,-377.02388881572926,3264.3722847866966
2024-12-31 04:27:26.902674,3536.52545038179,2672.119888688023,5310.879719436048
2024-12-31 04:37:26.902674,-493.46233245553987,4607.040486294566,5136.8168471682475
2024-12-31 04:47:26.902674,-4317.415807206326,4620.411043289159,2814.676875713485
2024-12-31 04:57:26.902674,-6339.439154546742,2705.453242045989,-685.2565134285059
2024-12-31 05:07:26.902674,-5718.523845809593,-337.91167128598835,-3899.3337763813875
2024-12-31 05:17:26.902674,-2720.238177744642,-3241.5838816296405,-5488.958299887045
2024-12-31 05:27:26.902674,1406.3536259501523,-4801.115894628517,-4796.283093007902
2024-12-31 05:37:26.902674,4948.403941575724,-4367.578853864107,-2107.693678292944
2024-12-31 05:47:26.902674,6429.396310033984,-2115.741214994731,1460.1069464614313
2024-12-31 05:57:26.902674,5227.853886078316,1018.6842522803639,4416.893684485508
2024-12-31 06:07:26.902674,1845.3002951413964,3728.3165928541343,5526.323130499667
2024-12-31 06:17:26.902674,-2306.678470174153,4883.302864321791,4325.263404115482
2024-12-31 06:27:26.902674,-5496.009172099594,4000.826505146083,1314.9187452521742
2024-12-31 06:37:26.902674,-6392.022465828042,1448.7195580099742,-2245.8078885625405
2024-12-31 06:47:26.902674,-4626.208348224708,-1707.3478116796368,-4869.625656937526
2024-12-31 06:57:26.902674,-939.5112026478444,-4155.2518087322715,-5467.001341950217
